Категория,Тип,Наименование,Ед,Цена
"Шлифовка полов","!!!Полированные бетонные полы","",,""
"Шлифовка полов","Полированные бетонные полы","","",""
"Шлифовка полов","","!!!Предварительная подготовка","",""
"Шлифовка полов","","Грубая шлифовка бетона (куб.щётка)",м²,"120,00"
"Шлифовка полов","","Выравнивание бетона (планетарная машина)",м²,"150,00"
"Шлифовка полов","","→ Подробнее о полированных полах",,""
"Фрезеровка полов","Фрезеровка полов","","",""
"Фрезеровка полов","","Фрезеровка бетона глубиной 1-3 мм",м²,"180,00"
"Фрезеровка полов","","Фрезеровка бетона глубиной 4-5 мм",м²,"220,00"
"Фрезеровка полов","","!!!Снятие старого покрытия","",""
"Фрезеровка полов","","Снятие эпоксидной краски",м²,"200,00"
